JOB-Title,Organinsation,Location,Ratings,Job-Description,Date-of-Posting,Salary
"Transport Controller, Transport Operations, Production Logis...",Volvo Group,"Hosakote, Karnataka",4.0,"The Transport Controller is responsible for controlling of incoming & outgoing shipments; with the customers, freight forwarders, shipping companies, ship…",2 days ago,NA
Oracle Developer,Aveva,India,4.1,"AVEVA Employment Type Full Time Permanent.
We are looking for an Oracle Developer who will be responsible for creating DB views writing SQL.",30+ days ago,NA
Team Lead/Consultant-Artificial Intelligence Innovatio,Accenture,"Bengaluru, Karnataka",4.2,"You will be required to utilize the existing frameworks, standards, patterns to create architectural foundation and services necessary for AI applications that…",2 days ago,NA
Machine Learning/Artificial Intelligenc,Maveric Systems,India,3.5,"Ability to translate requirements into design specifications and experience in developing design documents.
Should have understanding on conversational AI and…",30+ days ago,NA
Artificial Intelligence Developer,Sunshine Manpower Solution And Services,"Udaipur, Rajasthan",3.9,Udaipur RSS Feed we are looking for Artificial Intelligence Developer for udaipur rajasthan location- salary - no bar Experience 4 - 8 Years Salary 5 Lac…,30+ days ago,"₹5,00,000 - ₹13,00,000 a year"
Data Engineer: Business Intelligenc,IBM,"Hyderabad, Telangana+5 locations",5.0,"To think along with clients and sell.
As Tableau Developer, you are responsible to create computer system and data visualization solutions to improve business…",6 days ago,NA
Manager CSD & Institutional Sales,L'Oreal,"Mumbai, Maharashtra",3.5,"Data and artificial intelligence are opening new horizons for personalization and customization.
We have a suitable opportunity in the Consumer Products…",Today,NA
"Analog Design Engr, Staff",Synopsys,"Bengaluru, Karnataka",3.7,"Portfolio of silicon IP—predesigned blocks of logic, memory, interfaces, analog, security, and embedded.
And get differentiated products to market quickly with…",1 day ago,NA
Manufacturing Engineer,Micron,"Bengaluru, Karnataka",4.1,"As a MCT Assembly & Test Operations Excellence Sr at Micron Technology, Inc., you will support and facilitate the Operations Excellence team to define…",17 days ago,NA
Sr Business Intelligence Developer,Synopsys,"Hyderabad, Telangana",NA,"The BI&A team is chartered with defining and executing an enterprise business intelligence strategy.
This includes BI tool implementation, data optimization,…",30+ days ago,NA
Research Scientist - Entomology,PI Industries Ltd,"Udaipur, Rajasthan",3.9,"Testing of new active ingredients in the lab using artificial diet or lab field bio-assays.
Contribute to competitor intelligence through secondary research ,…",14 days ago,NA
